Name,GallonsPer100Miles,MPG,Cylinders,Displacement100ci,Horsepower100,Weight1000lb,acceleration
chevrolet chevelle malibu,5.6,18,8,3.07,1.3,3.504,12
buick skylark 320,6.7,15,8,3.5,1.65,3.693,11.5
plymouth satellite,5.6,18,8,3.18,1.5,3.436,11
amc rebel sst,6.3,16,8,3.04,1.5,3.433,12
ford torino,5.9,17,8,3.02,1.4,3.449,10.5
ford galaxie 500,6.7,15,8,4.29,1.98,4.341,10
chevrolet impala,7.1,14,8,4.54,2.2,4.354,9
plymouth fury iii,7.1,14,8,4.4,2.15,4.312,8.5
pontiac catalina,7.1,14,8,4.55,2.25,4.425,10
amc ambassador dpl,6.7,15,8,3.9,1.9,3.85,8.5
dodge challenger se,6.7,15,8,3.83,1.7,3.563,10
plymouth 'cuda 340,7.1,14,8,3.4,1.6,3.609,8
chevrolet monte carlo,6.7,15,8,4,1.5,3.761,9.5
buick estate wagon (sw),7.1,14,8,4.55,2.25,3.086,10
toyota corona mark ii,4.2,24,4,1.13,0.95,2.372,15
plymouth duster,4.5,22,6,1.98,0.95,2.833,15.5
amc hornet,5.6,18,6,1.99,0.97,2.774,15.5
ford maverick,4.8,21,6,2,0.85,2.587,16
datsun pl510,3.7,27,4,0.97,0.88,2.13,14.5
volkswagen 1131 deluxe sedan,3.8,26,4,0.97,0.46,1.835,20.5
peugeot 504,4.0,25,4,1.1,0.87,2.672,17.5
audi 100 ls,4.2,24,4,1.07,0.9,2.43,14.5
saab 99e,4.0,25,4,1.04,0.95,2.375,17.5
bmw 2002,3.8,26,4,1.21,1.13,2.234,12.5
amc gremlin,4.8,21,6,1.99,0.9,2.648,15
ford f250,10.0,10,8,3.6,2.15,4.615,14
chevy c20,10.0,10,8,3.07,2,4.376,15
dodge d200,9.1,11,8,3.18,2.1,4.382,13.5
hi 1200d,11.1,9,8,3.04,1.93,4.732,18.5
datsun pl510,3.7,27,4,0.97,0.88,2.13,14.5
chevrolet vega 2300,3.6,28,4,1.4,0.9,2.264,15.5
toyota corona,4.0,25,4,1.13,0.95,2.228,14
amc gremlin,5.3,19,6,2.32,1,2.634,13
plymouth satellite custom,6.3,16,6,2.25,1.05,3.439,15.5
chevrolet chevelle malibu,5.9,17,6,2.5,1,3.329,15.5
ford torino 500,5.3,19,6,2.5,0.88,3.302,15.5
amc matador,5.6,18,6,2.32,1,3.288,15.5
chevrolet impala,7.1,14,8,3.5,1.65,4.209,12
pontiac catalina brougham,7.1,14,8,4,1.75,4.464,11.5
ford galaxie 500,7.1,14,8,3.51,1.53,4.154,13.5
plymouth fury iii,7.1,14,8,3.18,1.5,4.096,13
dodge monaco (sw),8.3,12,8,3.83,1.8,4.955,11.5
ford country squire (sw),7.7,13,8,4,1.7,4.746,12
pontiac safari (sw),7.7,13,8,4,1.75,5.14,12
amc hornet sportabout (sw),5.6,18,6,2.58,1.1,2.962,13.5
chevrolet vega (sw),4.5,22,4,1.4,0.72,2.408,19
pontiac firebird,5.3,19,6,2.5,1,3.282,15
ford mustang,5.6,18,6,2.5,0.88,3.139,14.5
mercury capri 2000,4.3,23,4,1.22,0.86,2.22,14
opel 1900,3.6,28,4,1.16,0.9,2.123,14
peugeot 304,3.3,30,4,0.79,0.7,2.074,19.5
fiat 124b,3.3,30,4,0.88,0.76,2.065,14.5
toyota corolla 1200,3.2,31,4,0.71,0.65,1.773,19
datsun 1200,2.9,35,4,0.72,0.69,1.613,18
volkswagen model 111,3.7,27,4,0.97,0.6,1.834,19
plymouth cricket,3.8,26,4,0.91,0.7,1.955,20.5
toyota corona hardtop,4.2,24,4,1.13,0.95,2.278,15.5
dodge colt hardtop,4.0,25,4,0.975,0.8,2.126,17
volkswagen type 3,4.3,23,4,0.97,0.54,2.254,23.5
chevrolet vega,5.0,20,4,1.4,0.9,2.408,19.5
ford pinto runabout,4.8,21,4,1.22,0.86,2.226,16.5
chevrolet impala,7.7,13,8,3.5,1.65,4.274,12
pontiac catalina,7.1,14,8,4,1.75,4.385,12
plymouth fury iii,6.7,15,8,3.18,1.5,4.135,13.5
ford galaxie 500,7.1,14,8,3.51,1.53,4.129,13
amc ambassador sst,5.9,17,8,3.04,1.5,3.672,11.5
mercury marquis,9.1,11,8,4.29,2.08,4.633,11
buick lesabre custom,7.7,13,8,3.5,1.55,4.502,13.5
oldsmobile delta 88 royale,8.3,12,8,3.5,1.6,4.456,13.5
chrysler newport royal,7.7,13,8,4,1.9,4.422,12.5
mazda rx2 coupe,5.3,19,3,0.7,0.97,2.33,13.5
amc matador (sw),6.7,15,8,3.04,1.5,3.892,12.5
chevrolet chevelle concours (sw),7.7,13,8,3.07,1.3,4.098,14
ford gran torino (sw),7.7,13,8,3.02,1.4,4.294,16
plymouth satellite custom (sw),7.1,14,8,3.18,1.5,4.077,14
volvo 145e (sw),5.6,18,4,1.21,1.12,2.933,14.5
